source,target,weight
AAA,AAT,0.6642785807580762
AAA,ACB,0.7003735902831587
AAA,ADS,0.6679472830293762
AAA,AGR,0.7460346489078843
AAA,ANV,0.7359794545454453
AAA,APH,0.7386318582875717
AAA,APS,0.6932641944747868
AAA,ASM,0.7943442679479604
AAA,BAF,0.6842712813318532
AAA,BCC,0.7338821126424564
AAA,BID,0.6767058443235775
AAA,BKG,0.703480300899844
AAA,BMI,0.7080251491081523
AAA,BSI,0.6953347489147425
AAA,BTS,0.6563654410613863
AAA,BVS,0.7017580552650335
AAA,C4G,0.7606110544986808
AAA,CCL,0.7129293816313552
AAA,CEO,0.7236451152730439
AAA,CII,0.6540315031243902
AAA,CKG,0.7194540876079665
AAA,CMX,0.7657397398264936
AAA,CSC,0.6838776117574626
AAA,CTD,0.6502719749976992
AAA,CTG,0.7473397354992897
AAA,CTS,0.7847934227984217
AAA,D2D,0.6583907496535609
AAA,DBC,0.6859702223317133
AAA,DCM,0.6719457100958434
AAA,DGW,0.653499414326999
AAA,DIG,0.697048526988596
AAA,DPG,0.7074216116697827
AAA,DPM,0.6657191878965741
AAA,DRC,0.6766750488569956
AAA,DTD,0.6880702472590303
AAA,DXG,0.7539374076455408
AAA,ELC,0.7352655009861158
AAA,FCN,0.7587109534595836
AAA,FIT,0.778494878639235
AAA,FMC,0.6507349264244944
AAA,FRT,0.7216265907232114
AAA,FTS,0.7263192239802061
AAA,G36,0.6836112862675157
AAA,GEG,0.7361591361020046
AAA,HAG,0.7143047379085423
AAA,HAH,0.6536545942362477
AAA,HAR,0.6918542531752367
AAA,HBC,0.6677710522576847
AAA,HCD,0.6722197505728222
AAA,HCM,0.7769208914684512
AAA,HDC,0.6969986386248943
AAA,HDG,0.6745277476908439
AAA,HHS,0.7217339811794284
AAA,HPG,0.7284390240830371
AAA,HQC,0.7613750409931451
AAA,HSG,0.7506477149045233
AAA,HT1,0.7252094922397199
AAA,HUT,0.66645314076723
AAA,IDC,0.7568088504412789
AAA,IDI,0.7141639106500732
AAA,IJC,0.7718597703362506
AAA,IPA,0.6971465074215832
AAA,IVS,0.6507418287893563
AAA,KBC,0.7125362716596615
AAA,KDH,0.6519640957736711
AAA,KHG,0.6905574167308908
AAA,KMR,0.6966447471234575
AAA,KSB,0.7467144705414841
AAA,L18,0.6794560617066255
AAA,LAS,0.6899253033152094
AAA,LCG,0.7838232425338618
AAA,LHG,0.7637262154857494
AAA,LIG,0.6503931479689137
AAA,LPB,0.7686120435890325
AAA,LSS,0.7580543946824879
AAA,MBB,0.7421700196768717
AAA,MBS,0.7585800838024587
AAA,MSB,0.7245424443214339
AAA,MSN,0.7630764999399781
AAA,NDN,0.7175210380232442
AAA,NHA,0.7313612659429571
AAA,NHH,0.733541099731345
AAA,NKG,0.7524917881481109
AAA,NLG,0.670093401687818
AAA,NT2,0.6716410375867667
AAA,OCB,0.7009185539086461
AAA,PAN,0.7323644413081953
AAA,PC1,0.7129296741788408
AAA,PET,0.6501044092035115
AAA,PHR,0.6581418822474026
AAA,POW,0.7056343997341159
AAA,PSI,0.6745628903452932
AAA,PVD,0.6524099289968527
AAA,PVT,0.6630668623455739
AAA,PXL,0.6568404044039198
AAA,QTP,0.6577769149640947
AAA,SBS,0.7311100640327285
AAA,SBT,0.7711671878744216
AAA,SCR,0.7776839797559529
AAA,SGT,0.694755105463135
AAA,SHB,0.7211991352855361
AAA,SHS,0.7435650249429616
AAA,SKG,0.687238186958444
AAA,SSI,0.7965931307921502
AAA,STB,0.7419444775865263
AAA,SZC,0.7394008667468113
AAA,TCB,0.6921741943707705
AAA,TCH,0.705266385310721
AAA,TCI,0.7195059954604153
AAA,TIG,0.6780193697592819
AAA,TIP,0.7196928381919633
AAA,TLH,0.7000082841877373
AAA,TNG,0.7502898779213728
AAA,TPB,0.7172566971067006
AAA,TSC,0.7288612654581956
AAA,TTF,0.7462184893097702
AAA,TVB,0.6822085626582134
AAA,VCG,0.6639428795025826
AAA,VCI,0.7338421262646734
AAA,VGS,0.6916505360645887
AAA,VGT,0.6689460312718734
AAA,VIB,0.7163834894283472
AAA,VIX,0.7007421079134877
AAA,VLB,0.7162740858492068
AAA,VND,0.7442983945958032
AAA,VOS,0.6537431687747703
AAA,VPH,0.6541150863224366
AAA,WSS,0.688219827402059
AAS,AGR,0.682263200508391
AAS,ANV,0.6626303082803044
AAS,BSR,0.7122550841192953
AAS,HCM,0.6753018212464634
AAS,HHV,0.7017865443973501
AAS,HPG,0.6710205222050503
AAS,IPA,0.7328969802813395
AAS,LPB,0.7179225780893926
AAS,MBB,0.6717116530522951
AAS,MBS,0.7230991520918258
AAS,MSB,0.6565067611534048
AAS,PSI,0.7034962366505162
